# ShogiBoardQ 2026.09.25 詰将棋局面生成
# 生成日時: 2026/09/26 15:32:18 JST
# エンジン: KomoringHeights 1.1.0 64ZEN2 (PostSearchLevel=MinLength)
# 目標手数: 9 手詰
# 局面数: 1000（重複なし）
# 攻め駒上限: 5 / 6 枚（生成バッチ別）
# 守り駒上限: 2 / 3 / 4 枚（玉以外、生成バッチ別）
# 配置範囲: 2 マス（玉中心、生成バッチ別）
# 探索時間/局面: 1 秒（生成バッチ別）
# 未使用駒: 玉方の持駒に追加
# 事前選別: 1 / 3 / 5 / 10 / 25 ms探索で9手詰を確認できた候補に限定（生成バッチ別）
# 玉位置の事前選別: 盤端からの距離 0 / 1 / 4 マス以内（4は制限なし、生成バッチ別）
# 余詰検査: 主手順の余詰を除外、最終手の複数解を許容
# 手順形式: SFEN moves <初手> <玉方応手> <3手目> <玉方応手> <5手目> <玉方応手> <7手目> <玉方応手> <詰めの手>
9/9/9/9/6sR1/9/7pk/7R1/9 b 2b4g3s4n4l17p 1 moves 2e2g 1g1f P*1g 1f1e 2g2e 1e1d 2e2c+ 1d1e 2h2e
9/9/9/9/9/1R7/9/kp7/rP7 b S2b4g3s4n4l16p 1 moves 8f8h 9h9g S*8f 9g9f P*9g 9i9g 8f9g 9f9e R*9f
9/9/9/9/9/9/9/6G+Ns/6r1k b Gr2b2g3s3n4l18p 1 moves 2h1h 1i1h S*2g 1h2i G*2h 2i1i 2h1h 1i2i 3h2h
9/9/9/9/1R7/k1s6/2G6/9/9 b Gr2b2g3s4n4l18p 1 moves G*8f 9f9g 8f8g 7f8g 7g8g 9g9h 8g8h 9h9i 8h8i
9/9/9/S1S6/3B5/1k1+P5/9/1+P7/9 b 2rb4g2s4n4l16p 1 moves 6f7f 8f9f 9d8e 9f9e 8e8d 9e8d 7f8e 8d9c 7d8c+
9/9/9/6L2/8k/9/7L1/9/9 b G2r2b3g4s4n2l18p 1 moves G*2f 1e2d 2f2e 2d2c 2e2d 2c2b 2d2c 2b2a 2c2b
9/9/9/9/9/9/1r+S1R4/9/+B1k+lB4 b 4g3s4n3l18p 1 moves 7g7h 7i7h 5g7g 8g7g 9i7g 7h7i R*7h 7i8i 7g8h
9/9/9/9/9/9/5S1+PG/6l1s/5+PPk1 b 2r2b3g2s4n3l15p 1 moves 4g3h 2i1i 1g1h 1i1h S*2i 1h1i 2i2h 1i1h L*1i
9/9/9/1R7/k8/9/9/9/9 b Gr2b3g4s4n4l18p 1 moves G*8e 9e9f 8e8f 9f9g 8f8g 9g9h 8g8h 9h9i 8h8i
9/9/9/9/9/9/5+S1g1/5S1S1/6+pk1 b G2r2b2gs4n4l17p 1 moves G*1i 2i3h 2h2g 3h2g 4g3g 2g1f G*2f 1f1g 2f2g
9/2+L6/9/k8/1L7/G8/9/9/9 b B2rb3g4s4n2l18p 1 moves B*8c 9d9c 8c9b+ 9c9b 7b8b 9b9c 8b8c 9c9d 8c8d
9/9/9/7R1/6+S1k/9/9/9/9 b r2b4g3s4n4l18p 1 moves 3e2e 1e1f 2e2f 1f1g 2f2g 1g1h 2g2h 1h1i 2h2i
3+S5/4k4/4B1+S2/9/9/9/9/9/9 b 2rb4g2s4n4l18p 1 moves 5c6b+ 5b4a 6b5a 4a3a 5a4b 3a2a 4b3b 2a1a 3c2b
4p4/9/5Pk2/7R1/9/9/9/9/9 b Gr2b3g4s4n4l16p 1 moves G*3d 3c3b 2d2c+ 3b4a 4c4b+ 4a4b 3d4c 4b4a 2c3b
9/9/9/9/kl7/BR7/9/9/9 b Grb3g4s4n3l18p 1 moves 8f8e 9e9f G*8f 9f9g 8f8g 9g9h 8g8h 9h9i 8h8i
9/9/5+N1k1/7B1/9/9/9/9/9 b G2rb3g4s3n4l18p 1 moves 2d3c+ 2c1d G*1e 1d1c 1e2d 1c1b 2d2c 1b2a 2c2b
9/9/9/9/9/9/3+RR1+S2/9/3+pgk3 b 2b3g3s4n4l17p 1 moves 5g5i 6i5i G*4h 4i3i 3g3h 3i2i 6g2g 2i1i 2g2h
9/9/9/9/9/9/9/2+B6/k1r6 b SPrb4g3s4n4l17p 1 moves S*8h 9i9h P*9i 7i9i 8h9i 9h9i R*8i 9i9h 7h8h
9/1+SR6/9/k8/2R6/9/9/9/9 b 2b4g3s4n4l18p 1 moves 7b7d+ G*8d 7d8d 9d8d G*8e 8d9c 7e7c+ P*8c 8e8d
9/9/1k1+N5/pB7/9/9/9/9/9 b SP2rb4g3s3n4l16p 1 moves 8d7c+ 8c9b P*9c 9b9c S*8d 9c9b 8d8c+ 9b8a 6c7b
1+L+L6/2p6/k1L6/9/2S6/9/9/9/9 b G2r2b3g3s4nl17p 1 moves G*8d 9c9b 8a8b 9b8b 7c7b+ 8b9a 7a8a 9a9b 8a8b
9/9/6+L2/9/7Pk/9/8B/9/9 b GS2rb3g3s4n3l17p 1 moves G*2f 1e1d S*1e 1d1c 1e2d 1c1b 2d2c+ 1b2a 3c2b
9/9/1R7/9/k8/9/9/9/9 b Gr2b3g4s4n4l18p 1 moves G*8e 9e9f 8e8f 9f9g 8f8g 9g9h 8g8h 9h9i 8h8i
9/9/7R1/7G1/8k/9/9/9/9 b r2b3g4s4n4l18p 1 moves 2d2e 1e1f 2e2f 1f1g 2f2g 1g1h 2g2h 1h1i 2h2i
9/9/9/9/9/9/6+P1+P/7pg/6G1k b G2r2bg4s4n4l15p 1 moves 1g1h 1i1h G*1g 1h1g G*2g 1g1h 2g2h 1h1i 2h2i
9/9/9/9/9/9/5+RG+N1/6Glp/6gk1 b r2bg4s3n3l17p 1 moves 3h3i 2i1i G*2i 2h2i+ 3i2i 1i2i 4g3h 2i1i 3h2h
